fid1	Id1	fid2	Id2	ibd
tsk_0	tsk_0	tsk_774	tsk_774	0.08576099940606878
tsk_0	tsk_0	tsk_778	tsk_778	0.1305580951491168
tsk_0	tsk_0	tsk_782	tsk_782	0.1800032032245794
tsk_0	tsk_0	tsk_791	tsk_791	0.08818477267115563
tsk_0	tsk_0	tsk_793	tsk_793	0.06510420489959894
tsk_0	tsk_0	tsk_797	tsk_797	1
tsk_0	tsk_0	tsk_798	tsk_798	0.25111478888748007
tsk_0	tsk_0	tsk_801	tsk_801	0.048464787886472384
tsk_0	tsk_0	tsk_802	tsk_802	0.09569166294069363
tsk_0	tsk_0	tsk_805	tsk_805	0.20267269050844516
tsk_0	tsk_0	tsk_811	tsk_811	0.12693111065138907
tsk_0	tsk_0	tsk_824	tsk_824	0.12693111065138907
tsk_0	tsk_0	tsk_826	tsk_826	0.069209671068876
tsk_0	tsk_0	tsk_828	tsk_828	0.12011491568178634
tsk_0	tsk_0	tsk_835	tsk_835	0.09850716387830416
tsk_0	tsk_0	tsk_836	tsk_836	0.2062316064838604
tsk_0	tsk_0	tsk_842	tsk_842	0.07528578769294424
tsk_0	tsk_0	tsk_850	tsk_850	0.03872031178052573
tsk_0	tsk_0	tsk_851	tsk_851	0.12693111065138907
tsk_0	tsk_0	tsk_856	tsk_856	0.12011491568178634
tsk_0	tsk_0	tsk_859	tsk_859	1
tsk_0	tsk_0	tsk_877	tsk_877	0.03971998478468325
tsk_0	tsk_0	tsk_878	tsk_878	0.03836929175369872
tsk_0	tsk_0	tsk_881	tsk_881	0.5668920046179821
tsk_0	tsk_0	tsk_885	tsk_885	0.034980547084064624
tsk_0	tsk_0	tsk_886	tsk_886	0.11060534271166307
tsk_0	tsk_0	tsk_891	tsk_891	0.05104538568825952
tsk_0	tsk_0	tsk_892	tsk_892	0.07657108155543246
tsk_0	tsk_0	tsk_894	tsk_894	0.06625336171746224
tsk_0	tsk_0	tsk_898	tsk_898	0.048464787886472384
tsk_0	tsk_0	tsk_902	tsk_902	0.043025312147561875
tsk_0	tsk_0	tsk_903	tsk_903	0.0739150745083384
tsk_0	tsk_0	tsk_904	tsk_904	0.054497527511027766
tsk_0	tsk_0	tsk_905	tsk_905	0.04638135723294783
tsk_0	tsk_0	tsk_908	tsk_908	0.1403646337312895
tsk_0	tsk_0	tsk_909	tsk_909	0.06293468758550273
tsk_0	tsk_0	tsk_910	tsk_910	0.10932805691062336
tsk_0	tsk_0	tsk_911	tsk_911	0.048464787886472384
tsk_0	tsk_0	tsk_922	tsk_922	0.17670321456933313
tsk_0	tsk_0	tsk_926	tsk_926	0.14466162603687713
tsk_0	tsk_0	tsk_930	tsk_930	0.09429091952565583
tsk_0	tsk_0	tsk_931	tsk_931	0.06887733651876222
tsk_0	tsk_0	tsk_943	tsk_943	0.2499983316538649
tsk_0	tsk_0	tsk_952	tsk_952	0.13915675112947035
tsk_0	tsk_0	tsk_976	tsk_976	0.16249357686737984
