p1	p2	dcifer
SPT35324	SPT35374	0
SPT35324	SPT35459	0
SPT35324	SPT35471	0
SPT35324	SPT35509	0
SPT35324	SPT35551	0
SPT35324	SPT35556	0.006
SPT35324	SPT35564	0.001
SPT35324	SPT35566	0.005
SPT35324	SPT35587	0
SPT35324	SPT35673	0
SPT35324	SPT35681	0
SPT35324	SPT35752	0
SPT35324	SPT35334	0
SPT35324	SPT35469	0
SPT35324	SPT35332	0
SPT35324	SPT35351	0.048
SPT35324	SPT35355	0
SPT35324	SPT35420	0
SPT35324	SPT35502	0
SPT35324	SPT35412	0
SPT35324	SPT35446	0
SPT35324	SPT35450	0.024
SPT35324	SPT35474	0.028
SPT35324	SPT35503	0
SPT35324	SPT35571	0
SPT35324	SPT35575	0.004
SPT35324	SPT35592	0
SPT35324	SPT35766	0.005
SPT35324	SPT35500	0
SPT35324	SPT35508	0
SPT35324	SPT35313	0
SPT35324	SPT35328	0.001
SPT35324	SPT35330	0
SPT35324	SPT35362	0
SPT35324	SPT35430	0
SPT35324	SPT35431	0
SPT35324	SPT35453	0.005
SPT35324	SPT35317	0
SPT35324	SPT35318	0.006
SPT35324	SPT35320	0.009
SPT35324	SPT35321	0.009
SPT35324	SPT35322	0
SPT35324	SPT35333	0
SPT35324	SPT35341	0.024
SPT35324	SPT35342	0.006
SPT35324	SPT35346	0
SPT35324	SPT35347	0.004
SPT35324	SPT35352	0
SPT35324	SPT35361	0
SPT35324	SPT35363	0
SPT35324	SPT35389	0.071
SPT35324	SPT35425	0
SPT35324	SPT35435	0
SPT35324	SPT35443	0
SPT35324	SPT35447	0
SPT35324	SPT35448	0
SPT35324	SPT35449	0
SPT35324	SPT35458	0
SPT35324	SPT35461	0
SPT35324	SPT35462	0.1
SPT35324	SPT35463	0
SPT35324	SPT35487	0
SPT35324	SPT35501	0
SPT35324	SPT35510	0
SPT35324	SPT35511	0
SPT35324	SPT35514	0
SPT35324	SPT35515	0
SPT35324	SPT35516	0
SPT35324	SPT35517	0
SPT35324	SPT35518	0
SPT35324	SPT35519	0
SPT35324	SPT35520	0.007
SPT35324	SPT35521	0
SPT35324	SPT35522	0
SPT35324	SPT35523	0
SPT35324	SPT35524	0.004
SPT35324	SPT35525	0
SPT35324	SPT35526	0
SPT35324	SPT35529	0
SPT35324	SPT35532	0
SPT35324	SPT35537	0.005
SPT35324	SPT35538	0.003
SPT35324	SPT35541	0
SPT35324	SPT35543	0.01
SPT35324	SPT35544	0
SPT35324	SPT35546	0
SPT35324	SPT35547	0
SPT35324	SPT35552	0.005
SPT35324	SPT35553	0.008
SPT35324	SPT35557	0.002
SPT35324	SPT35561	0
SPT35324	SPT35563	0
SPT35324	SPT35567	0
SPT35324	SPT35576	0
SPT35324	SPT35577	0
SPT35324	SPT35580	0.009
SPT35324	SPT35583	0
SPT35324	SPT35584	0
SPT35324	SPT35585	0
SPT35324	SPT35302	0
SPT35324	SPT35303	0.041
SPT35324	SPT35304	0.035
SPT35324	SPT35306	0.007
SPT35324	SPT35308	0.036
SPT35324	SPT35310	0
SPT35324	SPT35315	0.047
SPT35324	SPT35325	0
SPT35324	SPT35336	0.014
SPT35324	SPT35337	0
SPT35324	SPT35338	0.014
SPT35324	SPT35340	0.072
SPT35324	SPT35348	0
SPT35324	SPT35349	0.005
SPT35324	SPT35354	0.018
SPT35324	SPT35356	0.028
SPT35324	SPT35357	0.001
SPT35324	SPT35360	0.004
SPT35324	SPT35365	0
SPT35324	SPT35366	0
SPT35324	SPT35368	0
SPT35324	SPT35369	0
SPT35324	SPT35370	0
SPT35324	SPT35373	0.002
SPT35324	SPT35377	0.07
SPT35324	SPT35378	0
SPT35324	SPT35379	0
SPT35324	SPT35382	0.02
SPT35324	SPT35384	0.017
SPT35324	SPT35390	0.002
SPT35324	SPT35407	0
SPT35324	SPT35410	0.015
SPT35324	SPT35414	0
SPT35324	SPT35417	0
SPT35324	SPT35418	0
