p1	p2	hmm
SPT35444	SPT35323	0.21933
SPT35444	SPT35461	0.23145
SPT35444	SPT35462	0.24353
SPT35444	SPT35463	0.2326
SPT35444	SPT35341	0.23116
SPT35444	SPT35368	0.22022
SPT35444	SPT35378	0.23028
SPT35444	SPT35552	0.23383
SPT35444	SPT35551	0.23276
SPT35444	SPT35459	0.23926
SPT35444	SPT35474	0.25036
SPT35444	SPT35514	0.23638
SPT35444	SPT35519	0.22879
SPT35444	SPT35526	0.23659
SPT35444	SPT35501	0.21724
SPT35444	SPT35681	0.22613
SPT35444	SPT35467	0.23421
SPT35444	SPT35469	0.23238
SPT35444	SPT35470	0.24505
SPT35444	SPT35468	0.22894
SPT35444	SPT35471	0.22513
SPT35444	SPT35379	0.23571
SPT35444	SPT35472	0.22904
SPT35444	SPT35529	0.23489
SPT35444	SPT35517	0.2236
SPT35444	SPT35516	0.2331
SPT35444	SPT35360	0.23224
SPT35444	SPT35515	0.22671
SPT35444	SPT35518	0.22358
SPT35444	SPT35475	0.23378
SPT35444	SPT35520	0.22969
SPT35444	SPT35324	0.23051
SPT35444	SPT35476	0.22611
SPT35444	SPT35485	0.23855
SPT35444	SPT35389	0.22817
SPT35444	SPT35487	0.23484
SPT35444	SPT35369	0.23433
SPT35444	SPT35370	0.22834
SPT35444	SPT35382	0.22975
SPT35444	SPT35521	0.24554
SPT35444	SPT35553	0.23343
SPT35444	SPT35532	0.22776
SPT35444	SPT35384	0.2197
SPT35444	SPT35522	0.23712
SPT35444	SPT35361	0.2296
SPT35444	SPT35342	0.21524
SPT35444	SPT35556	0.2286
SPT35444	SPT35557	0.23301
SPT35444	SPT35328	0.21957
SPT35444	SPT35592	0.21927
SPT35444	SPT35435	0.22786
SPT35444	SPT35304	0.22634
SPT35444	SPT35390	0.22123
SPT35444	SPT35436	0.23166
SPT35444	SPT35580	0.24161
SPT35444	SPT35538	0.23536
SPT35444	SPT35537	0.23516
SPT35444	SPT35320	0.23356
SPT35444	SPT35541	0.23275
SPT35444	SPT35673	0.23062
SPT35444	SPT35502	0.7727
SPT35444	SPT35330	0.23042
SPT35444	SPT35546	0.24313
SPT35444	SPT35547	0.23519
SPT35444	SPT35544	0.24094
SPT35444	SPT35362	0.2384
SPT35444	SPT35499	0.22457
SPT35444	SPT35336	0.22114
SPT35444	SPT35577	0.22527
SPT35444	SPT35325	0.22098
SPT35444	SPT35331	0.23253
SPT35444	SPT35337	0.22365
SPT35444	SPT35306	0.22597
SPT35444	SPT35407	0.23652
SPT35444	SPT35346	0.22975
SPT35444	SPT35405	0.24058
SPT35444	SPT35410	0.23848
SPT35444	SPT35575	0.2297
SPT35444	SPT35576	0.23459
SPT35444	SPT35766	0.239
SPT35444	SPT35347	0.23257
SPT35444	SPT35412	0.24355
SPT35444	SPT35414	0.23976
SPT35444	SPT35348	0.22899
SPT35444	SPT35417	0.23617
SPT35444	SPT35571	0.23652
SPT35444	SPT35349	0.23146
SPT35444	SPT35351	0.22782
SPT35444	SPT35418	0.2322
SPT35444	SPT35419	0.23255
SPT35444	SPT35566	0.23764
SPT35444	SPT35567	0.22576
SPT35444	SPT35420	0.22924
SPT35444	SPT35423	0.2268
SPT35444	SPT35564	0.24166
SPT35444	SPT35352	0.23417
SPT35444	SPT35424	0.22605
SPT35444	SPT35357	0.22421
SPT35444	SPT35437	0.22498
SPT35444	SPT35563	0.22625
SPT35444	SPT35308	0.22966
SPT35444	SPT35425	0.23974
SPT35444	SPT35440	0.25624
SPT35444	SPT35354	0.22586
SPT35444	SPT35309	0.23393
SPT35444	SPT35310	0.23456
SPT35444	SPT35355	0.22584
SPT35444	SPT35332	0.21808
SPT35444	SPT35333	0.21831
SPT35444	SPT35561	0.22094
SPT35444	SPT35363	0.23056
SPT35444	SPT35427	0.23466
SPT35444	SPT35752	0.22714
SPT35444	SPT35430	0.22709
SPT35444	SPT35431	0.2319
SPT35444	SPT35313	0.21804
SPT35444	SPT35780	0.22221
SPT35444	SPT35315	0.2312
SPT35444	SPT35316	0.2308
SPT35444	SPT35317	0.23395
SPT35444	SPT35334	0.22114
SPT35444	SPT35543	0.23352
SPT35446	SPT35503	0.23474
SPT35446	SPT35302	0.23987
SPT35446	SPT35508	0.24899
SPT35446	SPT35365	0.23754
SPT35446	SPT35449	0.25837
SPT35446	SPT35523	0.25725
SPT35446	SPT35338	0.23253
SPT35446	SPT35339	0.24365
SPT35446	SPT35372	0.23802
SPT35446	SPT35373	0.24243
SPT35446	SPT35587	0.24713
SPT35446	SPT35303	0.23652
SPT35446	SPT35356	0.23301
SPT35446	SPT35448	0.2619
SPT35446	SPT35364	0.22421
SPT35446	SPT35366	0.2302
SPT35446	SPT35524	0.23796
SPT35446	SPT35321	0.2414
SPT35446	SPT35374	0.2406
SPT35446	SPT35318	0.23476
SPT35446	SPT35453	0.25659
SPT35446	SPT35509	0.24949
SPT35446	SPT35450	0.24899
SPT35446	SPT35525	0.26393
SPT35446	SPT35510	0.23313999999999999
SPT35446	SPT35340	0.23318
SPT35446	SPT35583	0.22405
SPT35446	SPT35584	0.24433
SPT35446	SPT35585	0.24823
SPT35446	SPT35458	0.25458
SPT35446	SPT35500	0.24109
SPT35446	SPT35322	0.2414
SPT35446	SPT35377	0.2324
SPT35446	SPT35511	0.259
SPT35446	SPT35323	0.2468
SPT35446	SPT35461	0.23284
SPT35446	SPT35462	0.23649
SPT35446	SPT35463	0.24825
SPT35446	SPT35341	0.244
SPT35446	SPT35368	0.23501
SPT35446	SPT35378	0.23388
SPT35446	SPT35552	0.24554
SPT35446	SPT35551	0.23983
