p1	p2	malecotf
SPT35446	SPT35407	0
SPT35446	SPT35346	0
SPT35446	SPT35405	0
SPT35446	SPT35410	0
SPT35446	SPT35575	0
SPT35446	SPT35576	0
SPT35446	SPT35766	0
SPT35446	SPT35347	0
SPT35446	SPT35412	0
SPT35446	SPT35414	0
SPT35446	SPT35348	0
SPT35446	SPT35417	0
SPT35446	SPT35571	0
SPT35446	SPT35349	0
SPT35446	SPT35351	0
SPT35446	SPT35418	0
SPT35446	SPT35419	0
SPT35446	SPT35566	0
SPT35446	SPT35567	0
SPT35446	SPT35420	0
SPT35446	SPT35423	0
SPT35446	SPT35564	0
SPT35446	SPT35352	0
SPT35446	SPT35424	0
SPT35446	SPT35357	0
SPT35446	SPT35437	0
SPT35446	SPT35563	0
SPT35446	SPT35308	0
SPT35446	SPT35425	0.02
SPT35446	SPT35440	0
SPT35446	SPT35354	0
SPT35446	SPT35309	0
SPT35446	SPT35310	0
SPT35446	SPT35355	0
SPT35446	SPT35332	0
SPT35446	SPT35333	0
SPT35446	SPT35561	0
SPT35446	SPT35363	0
SPT35446	SPT35427	0
SPT35446	SPT35752	0
SPT35446	SPT35430	0
SPT35446	SPT35431	0
SPT35446	SPT35313	0
SPT35446	SPT35780	0
SPT35446	SPT35315	0
SPT35446	SPT35316	0
SPT35446	SPT35317	0
SPT35446	SPT35334	0
SPT35446	SPT35543	0
SPT35503	SPT35302	0
SPT35503	SPT35508	0
SPT35503	SPT35365	0
SPT35503	SPT35449	0
SPT35503	SPT35523	0
SPT35503	SPT35338	0
SPT35503	SPT35339	0
SPT35503	SPT35372	0
SPT35503	SPT35373	0
SPT35503	SPT35587	0
SPT35503	SPT35303	0
SPT35503	SPT35356	0
SPT35503	SPT35448	0
SPT35503	SPT35364	0
SPT35503	SPT35366	0
SPT35503	SPT35524	0
SPT35503	SPT35321	0
SPT35503	SPT35374	0
SPT35503	SPT35318	0
SPT35503	SPT35453	0
SPT35503	SPT35509	0
SPT35503	SPT35450	0
SPT35503	SPT35525	0
SPT35503	SPT35510	0
SPT35503	SPT35340	0
SPT35503	SPT35583	0
SPT35503	SPT35584	0
SPT35503	SPT35585	0
SPT35503	SPT35458	0
SPT35503	SPT35500	0.51
SPT35503	SPT35322	0
SPT35503	SPT35377	0
SPT35503	SPT35511	0
SPT35503	SPT35323	0
SPT35503	SPT35461	0
SPT35503	SPT35462	0
