p1	p2	ibs
SPT35444	SPT35518	0.80350913195157
SPT35444	SPT35475	0.817566180997332
SPT35444	SPT35520	0.804332204085823
SPT35444	SPT35324	0.810188989317995
SPT35444	SPT35476	0.81311104250283
SPT35444	SPT35485	0.809543397778692
SPT35444	SPT35389	0.809391981954271
SPT35444	SPT35487	0.813788858110188
SPT35444	SPT35369	0.81041730749513
SPT35444	SPT35370	0.81285890073831
SPT35444	SPT35382	0.812782109150595
SPT35444	SPT35521	0.810743353228432
SPT35444	SPT35553	0.805381534353497
SPT35444	SPT35532	0.811637796909034
SPT35444	SPT35384	0.806418537885779
SPT35444	SPT35522	0.812641083521445
SPT35444	SPT35361	0.809474979491386
SPT35444	SPT35342	0.799609294674069
SPT35444	SPT35556	0.804142136248949
SPT35444	SPT35557	0.80733374766936
SPT35444	SPT35328	0.801785164666051
SPT35444	SPT35592	0.801624845742493
SPT35444	SPT35435	0.812249511869284
SPT35444	SPT35304	0.810677618069815
SPT35444	SPT35390	0.806421830118999
SPT35444	SPT35436	0.803676546524837
SPT35444	SPT35580	0.805786462269243
SPT35444	SPT35538	0.806155161359265
SPT35444	SPT35537	0.80424477483301
SPT35444	SPT35320	0.810379918588874
SPT35444	SPT35541	0.807863886295259
SPT35444	SPT35673	0.801723147616312
SPT35444	SPT35502	0.991074176669745
SPT35444	SPT35330	0.809662060155615
SPT35444	SPT35546	0.810681198910082
SPT35444	SPT35547	0.811748998664886
SPT35444	SPT35544	0.8125
SPT35444	SPT35362	0.812057828360504
SPT35444	SPT35499	0.806614465279209
SPT35444	SPT35336	0.806375077367444
SPT35444	SPT35577	0.805881143327164
SPT35444	SPT35325	0.80142798013245
SPT35444	SPT35331	0.81216036091459
SPT35444	SPT35337	0.807262283311109
SPT35444	SPT35306	0.808141919606235
SPT35444	SPT35407	0.820699558929121
SPT35444	SPT35346	0.812262893468676
SPT35444	SPT35405	0.819316275167785
SPT35444	SPT35410	0.809607076733182
SPT35444	SPT35575	0.804575297496922
SPT35444	SPT35576	0.813705375461633
SPT35444	SPT35766	0.806087696892295
SPT35444	SPT35347	0.809440738840431
SPT35444	SPT35412	0.810493428140487
SPT35444	SPT35414	0.812305134067761
SPT35444	SPT35348	0.808126410835214
SPT35444	SPT35417	0.811369243421053
SPT35444	SPT35571	0.810137365562773
SPT35444	SPT35349	0.804572951912232
SPT35444	SPT35351	0.80760939857728
SPT35444	SPT35418	0.809225395520855
SPT35444	SPT35419	0.813097563483088
SPT35444	SPT35566	0.811729040351244
SPT35444	SPT35567	0.80634236453202
SPT35444	SPT35420	0.802819800349902
SPT35444	SPT35423	0.804780467788264
SPT35444	SPT35564	0.809225395520855
SPT35444	SPT35352	0.808161591305239
SPT35444	SPT35424	0.806607657472211
SPT35444	SPT35357	0.808268362741075
SPT35444	SPT35437	0.807242511284366
SPT35444	SPT35563	0.807116488925349
SPT35444	SPT35308	0.811876093444479
SPT35444	SPT35425	0.809728483069504
SPT35444	SPT35440	0.813452329124946
SPT35444	SPT35354	0.809396799343455
SPT35444	SPT35309	0.809030271934325
SPT35444	SPT35310	0.80964178796325
SPT35444	SPT35355	0.806196778495948
SPT35444	SPT35332	0.80069750743666
SPT35444	SPT35333	0.801476620180476
SPT35444	SPT35561	0.801316330728095
SPT35444	SPT35363	0.804102564102564
SPT35444	SPT35427	0.807955656993805
SPT35444	SPT35752	0.804739824832561
SPT35444	SPT35430	0.805489873547857
SPT35444	SPT35431	0.810470988354117
SPT35444	SPT35313	0.806574216743708
SPT35444	SPT35780	0.803046108908825
SPT35444	SPT35315	0.809792650379799
SPT35444	SPT35316	0.811068898244173
SPT35444	SPT35317	0.811018775007695
SPT35444	SPT35334	0.806316005331693
SPT35444	SPT35543	0.807460112117292
SPT35446	SPT35503	0.809441624365482
