k,n_transmission,n_ancestry,n_unrelated,prop_transmission,baseline_transmission,enrichment,replicate,rate,rate_label,method
50,8,10,32,0.16,0.00311662935727594,51.3375129533679,rep3,1e-07,1e07,IBS
100,25,38,37,0.25,0.00311662935727594,80.2148639896373,rep3,1e-07,1e07,IBS
5,0,2,3,0,0.0436480709347126,0,rep3,1e-06,1e06,IBD
10,0,3,7,0,0.0436480709347126,0,rep3,1e-06,1e06,IBD
25,0,9,16,0,0.0436480709347126,0,rep3,1e-06,1e06,IBD
50,0,22,28,0,0.0436480709347126,0,rep3,1e-06,1e06,IBD
100,0,47,53,0,0.0436480709347126,0,rep3,1e-06,1e06,IBD
5,5,0,0,1,0.0436480709347126,22.9105199516324,rep3,1e-06,1e06,IBS
10,10,0,0,1,0.0436480709347126,22.9105199516324,rep3,1e-06,1e06,IBS
25,25,0,0,1,0.0436480709347126,22.9105199516324,rep3,1e-06,1e06,IBS
50,50,0,0,1,0.0436480709347126,22.9105199516324,rep3,1e-06,1e06,IBS
100,100,0,0,1,0.0436480709347126,22.9105199516324,rep3,1e-06,1e06,IBS
5,0,0,5,0,0.000501756146512795,0,rep4,1e-09,1e09,IBD
10,0,0,10,0,0.000501756146512795,0,rep4,1e-09,1e09,IBD
25,0,0,25,0,0.000501756146512795,0,rep4,1e-09,1e09,IBD
50,0,0,50,0,0.000501756146512795,0,rep4,1e-09,1e09,IBD
100,0,0,100,0,0.000501756146512795,0,rep4,1e-09,1e09,IBD
5,0,0,5,0,0.00269069069069069,0,rep4,1e-09,1e09,IBS
10,0,0,10,0,0.00269069069069069,0,rep4,1e-09,1e09,IBS
25,0,0,25,0,0.00269069069069069,0,rep4,1e-09,1e09,IBS
50,0,1,49,0,0.00269069069069069,0,rep4,1e-09,1e09,IBS
100,0,1,99,0,0.00269069069069069,0,rep4,1e-09,1e09,IBS
5,0,0,5,0,0.000851847588350409,0,rep4,1e-08,1e08,IBD
10,0,0,10,0,0.000851847588350409,0,rep4,1e-08,1e08,IBD
25,0,0,25,0,0.000851847588350409,0,rep4,1e-08,1e08,IBD
50,0,0,50,0,0.000851847588350409,0,rep4,1e-08,1e08,IBD
100,0,0,100,0,0.000851847588350409,0,rep4,1e-08,1e08,IBD
5,0,0,5,0,0.00244865845630148,0,rep4,1e-08,1e08,IBS
10,0,1,9,0,0.00244865845630148,0,rep4,1e-08,1e08,IBS
25,0,1,24,0,0.00244865845630148,0,rep4,1e-08,1e08,IBS
50,0,3,47,0,0.00244865845630148,0,rep4,1e-08,1e08,IBS
100,0,3,97,0,0.00244865845630148,0,rep4,1e-08,1e08,IBS
5,0,0,5,0,0.0111324465728079,0,rep4,1e-07,1e07,IBD
10,0,0,10,0,0.0111324465728079,0,rep4,1e-07,1e07,IBD
25,0,0,25,0,0.0111324465728079,0,rep4,1e-07,1e07,IBD
50,0,0,50,0,0.0111324465728079,0,rep4,1e-07,1e07,IBD
100,0,0,100,0,0.0111324465728079,0,rep4,1e-07,1e07,IBD
5,3,2,0,0.6,0.0111324465728079,53.8965083798883,rep4,1e-07,1e07,IBS
10,5,5,0,0.5,0.0111324465728079,44.9137569832402,rep4,1e-07,1e07,IBS
25,6,12,7,0.24,0.0111324465728079,21.5586033519553,rep4,1e-07,1e07,IBS
50,20,23,7,0.4,0.0111324465728079,35.9310055865922,rep4,1e-07,1e07,IBS
100,34,59,7,0.34,0.0111324465728079,30.5413547486034,rep4,1e-07,1e07,IBS
5,0,3,2,0,0.0311652841719567,0,rep4,1e-06,1e06,IBD
10,0,5,5,0,0.0311652841719567,0,rep4,1e-06,1e06,IBD
25,0,9,16,0,0.0311652841719567,0,rep4,1e-06,1e06,IBD
50,1,17,32,0.02,0.0311652841719567,0.641739696312365,rep4,1e-06,1e06,IBD
100,3,30,67,0.03,0.0311652841719567,0.962609544468547,rep4,1e-06,1e06,IBD
5,5,0,0,1,0.0311652841719567,32.0869848156182,rep4,1e-06,1e06,IBS
10,10,0,0,1,0.0311652841719567,32.0869848156182,rep4,1e-06,1e06,IBS
25,25,0,0,1,0.0311652841719567,32.0869848156182,rep4,1e-06,1e06,IBS
50,50,0,0,1,0.0311652841719567,32.0869848156182,rep4,1e-06,1e06,IBS
100,100,0,0,1,0.0311652841719567,32.0869848156182,rep4,1e-06,1e06,IBS
5,0,1,4,0,0.00136067074215289,0,rep5,1e-09,1e09,IBD
10,0,1,9,0,0.00136067074215289,0,rep5,1e-09,1e09,IBD
25,0,2,23,0,0.00136067074215289,0,rep5,1e-09,1e09,IBD
50,0,3,47,0,0.00136067074215289,0,rep5,1e-09,1e09,IBD
100,0,4,96,0,0.00136067074215289,0,rep5,1e-09,1e09,IBD
5,0,2,3,0,0.00234834834834835,0,rep5,1e-09,1e09,IBS
10,0,3,7,0,0.00234834834834835,0,rep5,1e-09,1e09,IBS
25,0,4,21,0,0.00234834834834835,0,rep5,1e-09,1e09,IBS
50,0,4,46,0,0.00234834834834835,0,rep5,1e-09,1e09,IBS
100,1,6,93,0.01,0.00234834834834835,4.25831202046036,rep5,1e-09,1e09,IBS
5,0,0,5,0,0.0014889744983574,0,rep5,1e-08,1e08,IBD
10,0,0,10,0,0.0014889744983574,0,rep5,1e-08,1e08,IBD
25,0,0,25,0,0.0014889744983574,0,rep5,1e-08,1e08,IBD
50,0,0,50,0,0.0014889744983574,0,rep5,1e-08,1e08,IBD
100,0,0,100,0,0.0014889744983574,0,rep5,1e-08,1e08,IBD
5,1,0,4,0.2,0.00286234393483417,69.8728051391863,rep5,1e-08,1e08,IBS
10,1,0,9,0.1,0.00286234393483417,34.9364025695932,rep5,1e-08,1e08,IBS
25,1,2,22,0.04,0.00286234393483417,13.9745610278373,rep5,1e-08,1e08,IBS
50,1,4,45,0.02,0.00286234393483417,6.98728051391863,rep5,1e-08,1e08,IBS
100,2,6,92,0.02,0.00286234393483417,6.98728051391863,rep5,1e-08,1e08,IBS
5,0,0,5,0,0.00361427324555702,0,rep5,1e-07,1e07,IBD
10,0,0,10,0,0.00361427324555702,0,rep5,1e-07,1e07,IBD
25,0,0,25,0,0.00361427324555702,0,rep5,1e-07,1e07,IBD
50,1,1,48,0.02,0.00361427324555702,5.5336159280668,rep5,1e-07,1e07,IBD
100,1,1,98,0.01,0.00361427324555702,2.7668079640334,rep5,1e-07,1e07,IBD
5,1,4,0,0.2,0.00361427324555702,55.336159280668,rep5,1e-07,1e07,IBS
10,1,5,4,0.1,0.00361427324555702,27.668079640334,rep5,1e-07,1e07,IBS
25,2,5,18,0.08,0.00361427324555702,22.1344637122672,rep5,1e-07,1e07,IBS
50,2,7,41,0.04,0.00361427324555702,11.0672318561336,rep5,1e-07,1e07,IBS
100,8,18,74,0.08,0.00361427324555702,22.1344637122672,rep5,1e-07,1e07,IBS
5,0,1,4,0,0.032997922353037,0,rep5,1e-06,1e06,IBD
10,0,1,9,0,0.032997922353037,0,rep5,1e-06,1e06,IBD
25,0,5,20,0,0.032997922353037,0,rep5,1e-06,1e06,IBD
50,2,12,36,0.04,0.032997922353037,1.2121975308642,rep5,1e-06,1e06,IBD
100,4,28,68,0.04,0.032997922353037,1.2121975308642,rep5,1e-06,1e06,IBD
5,5,0,0,1,0.032997922353037,30.3049382716049,rep5,1e-06,1e06,IBS
10,10,0,0,1,0.032997922353037,30.3049382716049,rep5,1e-06,1e06,IBS
25,25,0,0,1,0.032997922353037,30.3049382716049,rep5,1e-06,1e06,IBS
50,50,0,0,1,0.032997922353037,30.3049382716049,rep5,1e-06,1e06,IBS
100,100,0,0,1,0.032997922353037,30.3049382716049,rep5,1e-06,1e06,IBS
