replicate	method	rate	rate_label	aupr	auroc	spearman	brier	detectability	n_detectable	n_true_positives	prec_at_5	prec_at_10	prec_at_25	prec_at_50
rep4	IBD	1e-9	1e09	5.017561465127947e-4	0.5	NA	0.25	1	7021	7021	0	0	0	0
rep4	IBS	1e-9	1e09	0.014814517847685404	0.5259635436231799	0.4931879126725871	0.9762134661441529	1	7021	7021	0	0	0	0.02
rep4	Phylo	1e-9	1e09	0.009245543697585713	0.3158254670716467	-0.20240411863515792	0.020753711119927666	1	7021	7021	0	0	0.04	0.02
rep4	IBD	1e-8	1e08	0.008464755765319826	0.5	NA	0.25	1	7258	7258	0	0	0	0
rep4	IBS	1e-8	1e08	0.018505567124247536	0.60726962695191955	0.9888672528689031	0.8617695665654175	1	7258	7258	0	0.1	0.04	0.06
rep4	Phylo	1e-8	1e08	0.008711978526703556	0.7603617352191555	-0.7822328095976984	0.04571344198471672	1	7258	7258	0.2	0.1	0.12	0.06
rep4	IBD	1e-7	1e07	0.09630499172063157	0.5	NA	0.25	0.8948175653858573	11085	12388	0	0	0	0
rep4	IBS	1e-7	1e07	0.5412065038293321	0.8221661875166427	0.722604152665786	0.11188565864645476	0.8948175653858573	11085	12388	1	1	0.72	0.86
rep4	Phylo	1e-7	1e07	0.06714828055391421	0.6930997591141476	-0.30761004296313305	0.34625288965299983	0.8948175653858573	11085	12388	1	1	1	1
rep4	IBD	1e-6	1e06	0.315377803016475	0.5	NA	0.25	0.5112001886347559	23848	46651	0.6	0.5	0.36	0.36
rep4	IBS	1e-6	1e06	0.5743261049901677	0.6942844449583027	0.4627513493668976	0.2048219103815926	0.5112001886347559	23848	46651	1	1	1	1
rep4	Phylo	1e-6	1e06	0.3308537866939534	0.5029527979589864	-0.11450477419016024	0.3523018599446444	0.5112001886347559	23848	46651	1	1	1	1
rep5	IBD	1e-9	1e09	0.0067054637293146235	0.5	NA	0.25	1	6276	6276	0.2	0.1	0.08	0.06
rep5	IBS	1e-9	1e09	0.02033278757793507	0.6931488082258777	0.5802724162076285	0.9064030552446358	1	6276	6276	0.4	0.3	0.16	0.08
rep5	Phylo	1e-9	1e09	0.006718435865309159	0.9030243172555414	-0.5039881576267096	0.026968698407278256	1	6276	6276	1	1	0.6	0.3
rep5	IBD	1e-8	1e08	0.00994225299961397	0.5	NA	0.25	1	7846	7846	0	0	0	0
rep5	IBS	1e-8	1e08	0.019896827249786763	0.5949551276331454	0.9013672465488974	0.8484311216977555	1	7846	7846	0.2	0.1	0.12	0.1
rep5	Phylo	1e-8	1e08	0.00993081519135522	0.7360436853459891	-0.7480234572879568	0.04725182740231941	1	7846	7846	0.2	0.3	0.2	0.14
rep5	IBD	1e-7	1e07	0.03633772214897212	0.5	NA	0.25	0.9884374600741025	15473	15654	0	0	0	0.04
rep5	IBS	1e-7	1e07	0.19797771440223247	0.7843760065425541	0.9182646080180226	0.2204516964103326	0.9884374600741025	15473	15654	1	0.6	0.28	0.18
rep5	Phylo	1e-7	1e07	0.026848279880533236	0.7029263640866462	-0.7772715147753394	0.22326577244874424	0.9884374600741025	15473	15654	1	1	0.72	0.42
rep5	IBD	1e-6	1e06	0.3392349370595185	0.5	NA	0.25	0.503098280334326	20947	41636	0.2	0.1	0.2	0.28
rep5	IBS	1e-6	1e06	0.5999953618745609	0.6885472709208691	0.5100502404590528	0.2148447435531837	0.503098280334326	20947	41636	1	1	1	1
rep5	Phylo	1e-6	1e06	0.36829219897317983	0.5090537840674471	-0.11003951674518907	0.3206066134706	0.503098280334326	20947	41636	1	1	1	1
